1 1,Joy
1 2,Passion
1 3,Empowerment
1 4,Freedom
1 5,Love
1 6,Appreciation
2 1,Enthusiasm
2 2,Eagerness
2 3,Happiness
2 4,Positive Expectation
2 5,Belief
3 1,Trust
3 2,Optimism
3 3,Hopefulness
3 4,Contentment
4 1,Boredom
4 2,Pessimism
4 3,Frustration
4 4,Irritation
4 5,Impatience
5 1,Disappointment
5 2,Discourage
5 3,Sadness
5 4,Doubt
5 5,Worry
5 6,Blame
6 1,Anger
6 2,Rage
6 3,Revenge
6 4,Hatred
7 1,Jealousy
7 2,Insecurity
7 3,Guilt
7 4,Unworthiness
8 1,Fear
8 2,Grief
8 3,Depression
8 4,Despair
8 5,Powerless